id,title,type,genres,providers,vote_count,vote_average,weighted_score
11,스타워즈 에피소드 4: 새로운 희망,movie,"모험,액션,SF",Disney Plus,21668,8.2,7.980189353440381
12,니모를 찾아서,movie,"애니메이션,가족",Disney Plus,20055,7.817,7.631989385813737
13,포레스트 검프,movie,"코미디,드라마,로맨스","Netflix, Watcha",28871,8.463,8.267907550419366
18,제5원소,movie,"SF,액션,모험",기타,11295,7.562,7.317626784520805
262165,언 원티드: 초대받지 않은 손님,movie,"드라마,공포,미스터리",기타,27,3.407,6.377902757756782
24,킬 빌: 1부,movie,"액션,범죄","Netflix, wavve",18299,7.97,7.748062680570646
98328,위대한 카루소,movie,"드라마,음악",기타,19,5.7,6.400040521454196
27,나인 송즈,movie,"드라마,음악,로맨스","TVING, Watcha, wavve",552,5.546,6.271878042313848
28,지옥의 묵시록,movie,"드라마,전쟁",기타,8738,8.271,7.791274361006674
35,심슨 가족: 더 무비,movie,"애니메이션,코미디,가족",Disney Plus,8336,7.015,6.852526125583706
1277988,카라멜루,movie,"코미디,드라마",Netflix,194,7.789,6.4879466673055655
38,이터널 선샤인,movie,"SF,드라마,로맨스","Watcha, wavve",15817,8.092,7.821250305211104
163883,Attention bandits !,movie,드라마,기타,14,5.8,6.40165423501781
65588,좀비 5: 킬링 버드,movie,공포,기타,50,3.52,6.357502847769018
55,아모레스 페로스,movie,"드라마,스릴러",기타,2785,7.629,6.991670957031317
98360,Cleavagefield,movie,"코미디,공포",기타,14,4.286,6.394674059821868
58,캐리비안의 해적: 망자의 함,movie,"모험,판타지,액션",Disney Plus,16714,7.4,7.247533174409732
589885,범죄도시: 나쁜놈들 전성시대,movie,서부,"Watcha, wavve",27,4.667,6.389058319141881
62,2001 스페이스 오디세이,movie,"SF,미스터리,모험",wavve,12163,8.062,7.732073098860439
163907,빌런,movie,"코미디,서부",기타,152,5.712,6.3712868550542066
71,빌리 엘리어트,movie,"드라마,코미디,음악",Watcha,3976,7.597,7.081949997150156
73,아메리칸 히스토리 X,movie,드라마,기타,12174,8.3,7.922973773742488
74,우주전쟁,movie,"모험,스릴러,SF","Netflix, Watcha",8839,6.527,6.495769225910087
131147,Corbari,movie,전쟁,기타,3,5.5,6.403544173074789
76,비포 선라이즈,movie,"드라마,로맨스","Netflix, wavve",4480,7.969,7.338680357483417
77,메멘토,movie,"미스터리,스릴러","Netflix, TVING, Watcha, wavve",15679,8.178,7.8913528922688485
78,블레이드 러너,movie,"SF,드라마,스릴러","Amazon Prime Video, wavve",14499,7.942,7.67676018457533
426063,노스페라투,movie,"공포,판타지",기타,3256,6.692,6.553565325081241
79,영웅,movie,"드라마,모험,액션,역사","TVING, Watcha, wavve",2383,7.5,6.887406254635024
85,레이더스,movie,"모험,액션",기타,13193,7.922,7.639125857202636
88,더티 댄싱,movie,"드라마,음악,로맨스",Watcha,6356,7.331,7.032382151926203
32857,Surviving Evil,movie,"액션,공포,스릴러",기타,24,4.396,6.388619198468812
89,인디아나 존스: 최후의 성전,movie,"모험,액션",기타,10704,7.8,7.492697627238725
97,트론,movie,"SF,액션,모험",Disney Plus,2559,6.649,6.516564112450746
98,글래디에이터,movie,"액션,드라마,모험","Watcha, wavve",20235,8.2,7.966645881348681
101,레옹,movie,"범죄,드라마,액션",기타,15578,8.3,7.991971401463131
65638,Crime and Punishment USA,movie,"범죄,드라마",기타,5,5.2,6.40245185957692
103,택시 드라이버,movie,"범죄,드라마",기타,12985,8.1,7.779839779233307
105,빽 투 더 퓨쳐,movie,"모험,코미디,SF","Amazon Prime Video, Watcha",21077,8.323,8.082372082941422
106,프레데터,movie,"SF,액션,모험,스릴러",Disney Plus,8656,7.541,7.246841166754155
107,스내치,movie,"범죄,코미디",기타,9593,7.817,7.478561800473627
295020,Schützenliesel,movie,코미디,기타,0,0.0,6.404440961442163
111,스카페이스,movie,"액션,범죄,드라마",wavve,12571,8.2,7.851956139060581
114,귀여운 여인,movie,"로맨스,코미디",Disney Plus,8696,7.46,7.187737720380854
950387,A MINECRAFT MOVIE 마인크래프트 무비,movie,"가족,판타지,코미디,모험,액션",기타,2513,6.349,6.379272391439967
115,위대한 레보스키,movie,"코미디,범죄",Amazon Prime Video,11782,7.8,7.515073912841622
118,찰리와 초콜릿 공장,movie,"모험,코미디,가족,판타지",wavve,15759,7.04,6.937716874497118
120,반지의 제왕: 반지 원정대,movie,"모험,판타지,액션","Watcha, wavve",26619,8.4,8.196509744752479
121,반지의 제왕: 두 개의 탑,movie,"모험,판타지,액션",wavve,23122,8.411,8.17901996014684
122,반지의 제왕: 왕의 귀환,movie,"모험,판타지,액션",wavve,25681,8.49,8.270382573964767
123,로드 오브 링스,movie,"모험,애니메이션,판타지",기타,1007,6.6,6.45331130882844
950396,'더 캐니언' - The Gorge,movie,"로맨스,SF,스릴러","Apple TV, TVING",3172,7.675,7.055042012406787
128,모노노케 히메,movie,"모험,판타지,애니메이션",Netflix,8613,8.326,7.826833274610255
129,센과 치히로의 행방불명,movie,"애니메이션,가족,판타지",Netflix,17654,8.534,8.222691315305955
137,사랑의 블랙홀,movie,"로맨스,판타지,드라마,코미디",Watcha,8503,7.618,7.299742941803905
491661,Menekşe Gözler,movie,"로맨스, 뮤지컬, 드라마",기타,5,8.8,6.408397162787384
524434,이터널스,movie,"SF,액션,모험",Disney Plus,8833,6.791,6.692446291208803
655507,Your Excellency,movie,코미디,기타,2,4.5,6.403181660403056
1278101,작고 작은 나,movie,"드라마,가족",Netflix,34,7.632,6.418095678222562
149,아키라,movie,"애니메이션,SF,액션","Netflix, TVING, Watcha",4562,7.9,7.30399272869434
262297,Matharkula Manikkam,movie,드라마,기타,0,0.0,6.404440961442163
155,다크 나이트,movie,"드라마,액션,범죄,스릴러",wavve,34725,8.524,8.354278503800376
161,오션스 일레븐,movie,"스릴러,범죄",기타,12158,7.5,7.281863908544794
162,가위손,movie,"판타지,드라마,로맨스",Disney Plus,13426,7.7,7.461927656460435
165,빽 투 더 퓨쳐 2,movie,"모험,코미디,SF",기타,13482,7.8,7.54442175212093
169,프레데터 2,movie,"SF,액션,스릴러",Disney Plus,3606,6.291,6.342728366480868
170,28일 후,movie,"공포,스릴러,SF",기타,7960,7.233,7.004966333113751
196784,황금의 꿈,movie,"서부,코미디",기타,21,5.095,6.395406180199462
1376434,프레데터: 킬러 오브 킬러스,movie,"애니메이션,액션,SF,스릴러",Disney Plus,963,7.866,6.757582609909445
65718,Au-delà des grilles,movie,"드라마,로맨스",기타,30,6.5,6.405380085846518
185,시계태엽 오렌지,movie,"SF,범죄",wavve,13459,8.181,7.85519259356222
187,씬 시티,movie,"범죄,스릴러",기타,8547,7.463,7.186447608392259
262333,Karpagam,movie,드라마,기타,0,0.0,6.404440961442163
196,빽 투 더 퓨쳐 3,movie,"모험,코미디,SF",기타,11152,7.49,7.258514755270349
197,브레이브하트,movie,"액션,드라마,역사,전쟁",Disney Plus,10705,7.9,7.570701597515596
205,호텔 르완다,movie,"드라마,역사,전쟁",기타,3026,7.715,7.060088822215898
207,죽은 시인의 사회,movie,드라마,"Disney Plus, Netflix",12051,8.3,7.919897254143343
1278164,블러드 브라더스: 용의 불씨,movie,"액션,범죄,드라마,스릴러",Netflix,12,7.5,6.408773232075095
218,터미네이터,movie,"액션,스릴러,SF",기타,13991,7.673,7.447630498545581
65758,Chicken Park,movie,"코미디,SF",기타,56,3.3,6.347970912120796
65760,내부고발자,movie,"드라마,스릴러,범죄","TVING, wavve",588,6.7,6.452573879702842
1081568,Amma Nagamma,movie,드라마,Sun Nxt,0,0.0,6.404440961442163
458987,벡스,movie,"드라마,음악,로맨스",기타,28,5.286,6.394175326183401
131309,Recruits,movie,코미디,기타,8,3.25,6.39611405334095
238,대부,movie,"드라마,범죄",Netflix,22085,8.7,8.423647152657168
240,대부 2,movie,"드라마,범죄",Netflix,13347,8.571,8.170951046455325
242,대부 3,movie,"범죄,드라마,스릴러",Watcha,6593,7.417,7.098708790928812
247,킬링,movie,"범죄,스릴러",Watcha,1642,7.649,6.8425419650248855
33016,악령의 리사,movie,"공포,스릴러",기타,197,5.5,6.349100276448964
33018,Schizo,movie,"드라마,공포,미스터리,스릴러",기타,34,5.6,6.395492786120226
252,초콜렛 천국,movie,"가족,판타지,코미디",기타,3803,7.5,7.014850452715525
254,킹콩,movie,"모험,드라마,액션","Watcha, wavve",8258,6.887,6.7576998785574425
