id,title,type,genres,providers,vote_count,vote_average
11,스타워즈 에피소드 4: 새로운 희망,movie,"모험,액션,SF",Disney Plus,21668,8.2
12,니모를 찾아서,movie,"애니메이션,가족",Disney Plus,20055,7.817
13,포레스트 검프,movie,"코미디,드라마,로맨스","Netflix, Watcha",28871,8.463
18,제5원소,movie,"SF,액션,모험",기타,11295,7.562
262165,언 원티드: 초대받지 않은 손님,movie,"드라마,공포,미스터리",기타,27,3.407
24,킬 빌: 1부,movie,"액션,범죄","Netflix, wavve",18299,7.97
98328,위대한 카루소,movie,"드라마,음악",기타,19,5.7
27,나인 송즈,movie,"드라마,음악,로맨스","TVING, Watcha, wavve",552,5.546
28,지옥의 묵시록,movie,"드라마,전쟁",기타,8738,8.271
35,심슨 가족: 더 무비,movie,"애니메이션,코미디,가족",Disney Plus,8336,7.015
1277988,카라멜루,movie,"코미디,드라마",Netflix,194,7.789
38,이터널 선샤인,movie,"SF,드라마,로맨스","Watcha, wavve",15817,8.092
163883,Attention bandits !,movie,드라마,기타,14,5.8
65588,좀비 5: 킬링 버드,movie,공포,기타,50,3.52
55,아모레스 페로스,movie,"드라마,스릴러",기타,2785,7.629
98360,Cleavagefield,movie,"코미디,공포",기타,14,4.286
58,캐리비안의 해적: 망자의 함,movie,"모험,판타지,액션",Disney Plus,16714,7.4
589885,범죄도시: 나쁜놈들 전성시대,movie,서부,"Watcha, wavve",27,4.667
62,2001 스페이스 오디세이,movie,"SF,미스터리,모험",wavve,12163,8.062
163907,빌런,movie,"코미디,서부",기타,152,5.712
71,빌리 엘리어트,movie,"드라마,코미디,음악",Watcha,3976,7.597
73,아메리칸 히스토리 X,movie,드라마,기타,12174,8.3
74,우주전쟁,movie,"모험,스릴러,SF","Netflix, Watcha",8839,6.527
131147,Corbari,movie,전쟁,기타,3,5.5
76,비포 선라이즈,movie,"드라마,로맨스","Netflix, wavve",4480,7.969
77,메멘토,movie,"미스터리,스릴러","Netflix, TVING, Watcha, wavve",15679,8.178
78,블레이드 러너,movie,"SF,드라마,스릴러","Amazon Prime Video, wavve",14499,7.942
426063,노스페라투,movie,"공포,판타지",기타,3256,6.692
79,영웅,movie,"드라마,모험,액션,역사","TVING, Watcha, wavve",2383,7.5
85,레이더스,movie,"모험,액션",기타,13193,7.922
88,더티 댄싱,movie,"드라마,음악,로맨스",Watcha,6356,7.331
32857,Surviving Evil,movie,"액션,공포,스릴러",기타,24,4.396
89,인디아나 존스: 최후의 성전,movie,"모험,액션",기타,10704,7.8
97,트론,movie,"SF,액션,모험",Disney Plus,2559,6.649
98,글래디에이터,movie,"액션,드라마,모험","Watcha, wavve",20235,8.2
101,레옹,movie,"범죄,드라마,액션",기타,15578,8.3
65638,Crime and Punishment USA,movie,"범죄,드라마",기타,5,5.2
103,택시 드라이버,movie,"범죄,드라마",기타,12985,8.1
105,빽 투 더 퓨쳐,movie,"모험,코미디,SF","Amazon Prime Video, Watcha",21077,8.323
106,프레데터,movie,"SF,액션,모험,스릴러",Disney Plus,8656,7.541
107,스내치,movie,"범죄,코미디",기타,9593,7.817
295020,Schützenliesel,movie,코미디,기타,0,0.0
111,스카페이스,movie,"액션,범죄,드라마",wavve,12571,8.2
114,귀여운 여인,movie,"로맨스,코미디",Disney Plus,8696,7.46
950387,A MINECRAFT MOVIE 마인크래프트 무비,movie,"가족,판타지,코미디,모험,액션",기타,2513,6.349
115,위대한 레보스키,movie,"코미디,범죄",Amazon Prime Video,11782,7.8
118,찰리와 초콜릿 공장,movie,"모험,코미디,가족,판타지",wavve,15759,7.04
120,반지의 제왕: 반지 원정대,movie,"모험,판타지,액션","Watcha, wavve",26619,8.4
121,반지의 제왕: 두 개의 탑,movie,"모험,판타지,액션",wavve,23122,8.411
122,반지의 제왕: 왕의 귀환,movie,"모험,판타지,액션",wavve,25681,8.49
123,로드 오브 링스,movie,"모험,애니메이션,판타지",기타,1007,6.6
950396,'더 캐니언' - The Gorge,movie,"로맨스,SF,스릴러","Apple TV, TVING",3172,7.675
128,모노노케 히메,movie,"모험,판타지,애니메이션",Netflix,8613,8.326
129,센과 치히로의 행방불명,movie,"애니메이션,가족,판타지",Netflix,17654,8.534
137,사랑의 블랙홀,movie,"로맨스,판타지,드라마,코미디",Watcha,8503,7.618
491661,Menekşe Gözler,movie,"로맨스, 뮤지컬, 드라마",기타,5,8.8
524434,이터널스,movie,"SF,액션,모험",Disney Plus,8833,6.791
655507,Your Excellency,movie,코미디,기타,2,4.5
1278101,작고 작은 나,movie,"드라마,가족",Netflix,34,7.632
149,아키라,movie,"애니메이션,SF,액션","Netflix, TVING, Watcha",4562,7.9
262297,Matharkula Manikkam,movie,드라마,기타,0,0.0
155,다크 나이트,movie,"드라마,액션,범죄,스릴러",wavve,34725,8.524
161,오션스 일레븐,movie,"스릴러,범죄",기타,12158,7.5
162,가위손,movie,"판타지,드라마,로맨스",Disney Plus,13426,7.7
165,빽 투 더 퓨쳐 2,movie,"모험,코미디,SF",기타,13482,7.8
169,프레데터 2,movie,"SF,액션,스릴러",Disney Plus,3606,6.291
170,28일 후,movie,"공포,스릴러,SF",기타,7960,7.233
196784,황금의 꿈,movie,"서부,코미디",기타,21,5.095
1376434,프레데터: 킬러 오브 킬러스,movie,"애니메이션,액션,SF,스릴러",Disney Plus,963,7.866
65718,Au-delà des grilles,movie,"드라마,로맨스",기타,30,6.5
185,시계태엽 오렌지,movie,"SF,범죄",wavve,13459,8.181
187,씬 시티,movie,"범죄,스릴러",기타,8547,7.463
262333,Karpagam,movie,드라마,기타,0,0.0
196,빽 투 더 퓨쳐 3,movie,"모험,코미디,SF",기타,11152,7.49
197,브레이브하트,movie,"액션,드라마,역사,전쟁",Disney Plus,10705,7.9
205,호텔 르완다,movie,"드라마,역사,전쟁",기타,3026,7.715
207,죽은 시인의 사회,movie,드라마,"Disney Plus, Netflix",12051,8.3
1278164,블러드 브라더스: 용의 불씨,movie,"액션,범죄,드라마,스릴러",Netflix,12,7.5
218,터미네이터,movie,"액션,스릴러,SF",기타,13991,7.673
65758,Chicken Park,movie,"코미디,SF",기타,56,3.3
65760,내부고발자,movie,"드라마,스릴러,범죄","TVING, wavve",588,6.7
1081568,Amma Nagamma,movie,드라마,Sun Nxt,0,0.0
458987,벡스,movie,"드라마,음악,로맨스",기타,28,5.286
131309,Recruits,movie,코미디,기타,8,3.25
238,대부,movie,"드라마,범죄",Netflix,22085,8.7
240,대부 2,movie,"드라마,범죄",Netflix,13347,8.571
242,대부 3,movie,"범죄,드라마,스릴러",Watcha,6593,7.417
247,킬링,movie,"범죄,스릴러",Watcha,1642,7.649
33016,악령의 리사,movie,"공포,스릴러",기타,197,5.5
33018,Schizo,movie,"드라마,공포,미스터리,스릴러",기타,34,5.6
252,초콜렛 천국,movie,"가족,판타지,코미디",기타,3803,7.5
254,킹콩,movie,"모험,드라마,액션","Watcha, wavve",8258,6.887
131332,Iacob,movie,드라마,기타,5,6.8
98566,닌자터틀,movie,"SF,액션,모험,코미디",기타,7026,5.924
426253,연인들,movie,"코미디,드라마,로맨스",wavve,93,5.409
272,배트맨 비긴즈,movie,"드라마,범죄,액션","Watcha, wavve",21980,7.718
426257,지금부터 들려줄게 록샌의 이야기,movie,드라마,Netflix,122,6.0
131347,David Copperfield,movie,"드라마,TV 영화",기타,14,5.4
1081620,The Weapon,movie,액션,기타,41,4.9
277,언더월드,movie,"판타지,액션,스릴러",wavve,6408,6.839
278,쇼생크 탈출,movie,"드라마,범죄",wavve,29253,8.712
280,터미네이터 2: 심판의 날,movie,"액션,스릴러,SF",기타,13702,8.134
284,아파트 열쇠를 빌려드립니다,movie,"코미디,드라마,로맨스",기타,2506,8.2
285,캐리비안의 해적: 세상의 끝에서,movie,"모험,판타지,액션",Disney Plus,15039,7.265
296,터미네이터 3: 라이즈 오브 더 머신,movie,"액션,스릴러,SF","TVING, Watcha",6997,6.2
297,조 블랙의 사랑,movie,"판타지,드라마,로맨스","Watcha, wavve",5560,7.352
524586,The Rock And Roll Hall Of Fame - In Concert 2014-2017,movie,음악,기타,0,0.0
819504,시리어슬리 레드,movie,"로맨스,코미디,음악,드라마",기타,20,5.025
310,브루스 올마이티,movie,"판타지,코미디",Disney Plus,11164,6.722
1311031,극장판 귀멸의 칼날: 무한성편,movie,"애니메이션,액션,판타지,스릴러",기타,573,7.599
1016121,뷰티풀 디재스터,movie,"로맨스,드라마,코미디","TVING, Watcha",862,6.6
322,미스틱 리버,movie,"스릴러,범죄,드라마,미스터리",Watcha,7141,7.742
295237,The Assault,movie,"미스터리,범죄,드라마,TV 영화",기타,78,6.776
360776,くノ一忍法帖III 秘戯伝説の怪,movie,액션,기타,5,5.7
360780,くノ一忍法帖 自来也秘抄,movie,"액션, 판타지",기타,1,7.0
332,형사 가제트,movie,"액션,모험,코미디,가족",Disney Plus,1275,4.504
491854,6 솔져스: 라스트 미션,movie,"액션,드라마,SF","TVING, Watcha, wavve",48,6.2
335,옛날 옛적 서부에서,movie,"드라마,서부",기타,4681,8.28
360784,히든,movie,"스릴러,공포",기타,1098,6.905
342,썸머 스톰,movie,"코미디,드라마",기타,206,6.8
345,아이즈 와이드 셧,movie,"드라마,스릴러,미스터리",기타,6667,7.485
348,에이리언,movie,"공포,SF",Disney Plus,15756,8.166
350,악마는 프라다를 입는다,movie,"드라마,코미디",Disney Plus,12610,7.391
262500,인서전트,movie,"액션,SF,스릴러",기타,10244,6.364
262504,다이버전트 시리즈: 얼리전트,movie,"모험,SF,액션,미스터리",기타,6806,6.107
1081705,데드랜드,movie,"드라마,스릴러,서부",기타,5,5.9
377,나이트메어,movie,공포,Watcha,5511,7.3
380,레인 맨,movie,드라마,Watcha,6769,7.752
389,12명의 성난 사람들,movie,드라마,기타,9537,8.549
391,황야의 무법자,movie,서부,기타,4529,7.828
393,킬 빌: 2부,movie,"액션,범죄,스릴러","Netflix, wavve",14576,7.875
395,에이리언 VS 프레데터,movie,"모험,SF,액션,공포",Disney Plus,4751,5.946
262543,오토마타,movie,"스릴러,SF","TVING, Watcha, wavve",1731,5.868
459151,보스 베이비 2,movie,"애니메이션,코미디,모험,가족",기타,2636,7.345
1114513,스픽 노 이블,movie,"공포,스릴러",기타,1793,7.184
590223,러브 앤 몬스터스,movie,"코미디,모험,SF,액션",Netflix,4280,7.3
406,증오,movie,드라마,기타,4345,8.1
459159,퍼피!,movie,"가족,판타지,애니메이션,코미디",기타,183,6.432
408,백설공주와 일곱 난쟁이,movie,"판타지,애니메이션,가족",Disney Plus,7792,7.125
328088,Haji Backpacker,movie,"드라마,모험",기타,0,0.0
411,"나니아 연대기: 사자, 마녀 그리고 옷장",movie,"모험,가족,판타지",Disney Plus,11163,7.135
164251,세레나,movie,드라마,기타,1046,5.585
262560,Aanmai Thavarael,movie,스릴러,기타,2,1.0
65958,Le Souper,movie,"드라마,역사",기타,39,6.654
423,피아니스트,movie,"드라마,전쟁",Watcha,9776,8.38
424,쉰들러 리스트,movie,"드라마,역사,전쟁","Watcha, wavve",16867,8.6
425,아이스 에이지,movie,"애니메이션,코미디,가족,모험",Disney Plus,13907,7.366
429,석양의 무법자,movie,서부,Watcha,9260,8.463
33201,예레미야,movie,"모험,드라마,TV 영화",기타,42,6.8
435,투모로우,movie,"SF,스릴러,모험",Disney Plus,8553,6.546
131507,Scandali... nudi,movie,코미디,기타,1,2.0
440,에이리언 VS 프레데터 2,movie,"액션,SF,스릴러,공포",Disney Plus,3155,5.2
441,휴먼 네이쳐,movie,"드라마,코미디",기타,279,6.011
623034,컨저링: 저주받은 집,movie,"공포,스릴러,미스터리",기타,75,6.4
524736,쿤티라낙: 거울 귀신의 집으로,movie,"공포,코미디",기타,63,5.9
33217,윔피 키드,movie,"코미디,가족",Disney Plus,1701,6.256
453,뷰티풀 마인드,movie,"드라마,로맨스","Netflix, Watcha",10715,7.9
786892,퓨리오사: 매드맥스 사가,movie,"액션,SF,모험",기타,4498,7.5
295377,"Io, Amleto",movie,코미디,기타,0,0.0
467,더 홀,movie,"범죄,드라마,공포,스릴러",기타,863,6.207
66006,타이거 클로스,movie,액션,기타,41,5.4
360920,그린치,movie,"가족,코미디,애니메이션","Amazon Prime Video, Netflix",4273,6.9
229862,Ang Panday,movie,"공포,액션,판타지",기타,0,0.0
489,굿 윌 헌팅,movie,드라마,Netflix,13265,8.157
497,그린 마일,movie,"판타지,드라마,범죄",기타,18553,8.5
295410,Obietnica,movie,드라마,기타,24,4.313
66035,The Kentuckian,movie,서부,기타,53,5.726
500,저수지의 개들,movie,"범죄,스릴러",기타,14965,8.118
503,포세이돈,movie,"모험,액션,드라마,스릴러",기타,2227,5.868
507,킬링 조이,movie,"액션,범죄,드라마,스릴러",기타,358,6.2
508,러브 액츄얼리,movie,"코미디,로맨스,드라마",기타,7101,7.103
509,노팅 힐,movie,"로맨스,코미디","Watcha, wavve",6481,7.265
510,뻐꾸기 둥지 위로 날아간 새,movie,드라마,기타,11049,8.4
511,약속의 땅,movie,"드라마,역사",기타,78,7.282
66043,The Incident,movie,"스릴러,범죄,드라마",기타,79,7.354
1147400,"미라큘러스 월드: 파리, 셰이디버그와 블랙클로",movie,"애니메이션,액션,판타지,가족,TV 영화",Disney Plus,615,7.26
524,카지노,movie,"범죄,드라마","Amazon Prime Video, wavve",6255,7.993
534,터미네이터 4: 미래전쟁의 시작,movie,"액션,SF,스릴러",기타,6798,6.1
1147416,미라클 월드 런던: 시간의 끝에서,movie,"애니메이션,모험,액션,판타지",Disney Plus,287,7.4
539,싸이코,movie,"공포,스릴러,미스터리","Watcha, wavve",10629,8.421
544,메리에겐 뭔가 특별한 것이 있다,movie,"로맨스,코미디",Disney Plus,5150,6.618
550,파이트 클럽,movie,"드라마,스릴러","Disney Plus, wavve",31011,8.438
553,도그빌,movie,"범죄,드라마,스릴러",기타,2578,7.759
